time,id,x,y,z
0.63,6,-5.0,0.0,1.09
0.63,7,-3.48,0.0,1.03
0.63,8,-1.97,0.0,1.0
0.63,9,-0.46,0.0,0.97
0.63,10,0.07,0.0,0.67
0.63,11,0.0,0.0,0.45
0.63,12,0.41,0.0,0.63
0.63,13,1.93,0.0,0.81
0.63,14,3.44,0.0,0.89
0.63,15,4.96,0.0,0.95
0.63,16,6.47,0.0,1.01
0.63,17,7.99,0.0,1.07
0.63,18,9.5,0.0,1.09
0.63,19,10.98,0.0,1.04
0.63,20,12.45,0.0,0.94
0.65,1,-12.4,0.0,0.92
0.65,2,-10.92,0.0,1.0
0.65,3,-9.45,0.0,1.12
0.65,4,-7.98,0.0,1.18
0.65,5,-6.47,0.0,1.17
0.65,6,-4.95,0.0,1.1
0.65,7,-3.43,0.0,1.05
0.65,8,-1.92,0.0,1.01
0.65,9,-0.41,0.0,0.98
0.65,10,0.07,0.0,0.67
0.65,11,0.0,0.0,0.45
0.65,12,0.36,0.0,0.64
0.65,13,1.88,0.0,0.81
0.65,14,3.39,0.0,0.9
0.65,15,4.91,0.0,0.96
